model,store,product,horizon,smape,mase,rmse,rmsle
Naive,S003,P0005,28,61.2045,1.2167,65.4551,1.0569
Naive,S003,P0006,28,40.938,0.8089,34.9096,0.5998
Naive,S003,P0007,28,42.6605,0.7985,53.3946,0.5591
Naive,S003,P0008,28,34.4979,0.8067,45.1462,0.4341
Naive,S003,P0009,28,34.8932,0.8139,38.905,0.457
Naive,S003,P0010,28,40.2662,0.9475,46.4372,0.5972
Naive,S003,P0011,28,50.0712,0.9947,52.7197,1.054
Naive,S003,P0012,28,46.5134,0.9497,36.2371,0.7469
Naive,S003,P0013,28,48.1746,0.7793,51.6284,0.9153
Naive,S003,P0014,28,45.3225,0.9486,58.6405,0.5833
Naive,S003,P0015,28,43.9196,0.7606,53.8878,0.8847
Naive,S003,P0016,28,68.0051,1.913,113.6008,0.9414
Naive,S003,P0017,28,50.6583,0.9845,38.136,0.8229
Naive,S003,P0018,28,51.4026,1.0315,40.3204,0.6686
Naive,S003,P0019,28,33.6969,0.7636,36.831,0.4465
Naive,S003,P0020,28,38.8784,0.9495,56.7411,0.4986
Naive,S004,P0001,28,39.5057,0.7073,47.546,0.7719
Naive,S004,P0002,28,44.0647,0.7013,46.6924,0.7796
Naive,S004,P0003,28,48.9872,0.9556,43.2373,0.6616
Naive,S004,P0004,28,56.5455,1.3871,97.7665,0.9414
Naive,S004,P0005,28,39.9384,1.068,46.3078,0.5201
Naive,S004,P0006,28,40.6034,0.8459,54.9102,0.5572
Naive,S004,P0007,28,43.5774,0.8766,56.8442,0.6386
Naive,S004,P0008,28,49.6155,1.2455,41.0319,0.6673
Naive,S004,P0009,28,59.1402,1.5705,80.6345,1.0348
Naive,S004,P0010,28,50.022,1.042,68.0038,0.7582
Naive,S004,P0011,28,44.142,0.9654,55.7098,0.5983
Naive,S004,P0012,28,52.8866,1.4304,53.043,0.6637
Naive,S004,P0013,28,53.5479,0.9028,60.3269,0.7414
Naive,S004,P0014,28,46.8619,0.9026,37.5573,0.6115
Naive,S004,P0015,28,50.7136,1.0062,39.659,0.688
Naive,S004,P0016,28,57.0804,1.2399,48.9402,0.8756
Naive,S004,P0017,28,27.8678,0.6818,32.6491,0.4062
Naive,S004,P0018,28,42.7711,0.8959,29.7115,0.58
Naive,S004,P0019,28,45.8501,1.2486,56.3177,0.6113
Naive,S004,P0020,28,42.0901,0.7543,32.8552,0.7139
Naive,S005,P0001,28,49.2838,0.8485,52.2873,0.7954
Naive,S005,P0002,28,45.4285,0.909,48.9517,0.5685
Naive,S005,P0003,28,40.8524,0.7469,34.4012,0.6571
Naive,S005,P0004,28,45.3408,1.214,58.0423,0.6042
Naive,S005,P0005,28,46.0669,0.8943,51.4451,0.881
Naive,S005,P0006,28,51.6098,1.1118,68.8955,0.8135
Naive,S005,P0007,28,63.52,1.0519,69.1203,0.8395
Naive,S005,P0008,28,45.5986,1.0325,50.9666,0.5521
Naive,S005,P0009,28,43.23,0.8089,52.7938,0.8356
Naive,S005,P0010,28,69.2283,1.4735,92.6653,0.8945
Naive,S005,P0011,28,53.6894,1.2427,60.8759,0.9124
Naive,S005,P0012,28,62.9227,1.2407,48.0662,0.8448
Naive,S005,P0013,28,44.9799,0.8514,53.7307,0.5796
Naive,S005,P0014,28,40.2847,0.7838,33.2148,0.671
Naive,S005,P0015,28,36.2388,0.6376,42.6281,0.6857
Naive,S005,P0016,28,56.4635,0.984,53.4757,0.9906
Naive,S005,P0017,28,56.6457,1.0816,48.3985,0.7832
Naive,S005,P0018,28,32.8284,0.7418,40.9313,0.4342
Naive,S005,P0019,28,56.4081,1.0976,42.5193,0.7345
Naive,S005,P0020,28,51.385,0.926,38.6478,0.7197
