model,store,product,horizon,smape,mase,rmse,rmsle
SNaive,S005,P0003,28,47.7934,0.9423,44.6666,0.7799
SNaive,S005,P0004,28,43.8064,1.1428,60.0605,0.6088
SNaive,S005,P0005,28,48.6061,1.0045,57.438,0.8695
SNaive,S005,P0006,28,50.8999,1.1988,78.2469,0.8536
SNaive,S005,P0007,28,41.4477,0.8368,56.7515,0.594
SNaive,S005,P0008,28,43.7477,0.9228,47.0053,0.5597
SNaive,S005,P0009,28,44.446,0.8839,57.5897,0.851
SNaive,S005,P0010,28,54.9775,1.2388,81.0065,0.7434
SNaive,S005,P0011,28,58.1397,1.2023,55.7296,0.8393
SNaive,S005,P0012,28,48.9186,1.0978,42.3829,0.6586
SNaive,S005,P0013,28,51.8162,0.9498,59.7322,0.6817
SNaive,S005,P0014,28,48.2305,1.0301,43.9056,0.8028
SNaive,S005,P0015,28,56.761,1.0411,64.3533,0.928
SNaive,S005,P0016,28,76.7578,1.3308,69.7358,1.637
SNaive,S005,P0017,28,56.6893,1.2348,56.5061,0.8624
SNaive,S005,P0018,28,40.4771,0.9344,46.8598,0.488
SNaive,S005,P0019,28,44.6093,0.8801,36.4223,0.6279
SNaive,S005,P0020,28,49.762,0.962,40.4335,0.7288
