model,store,product,horizon,mase,smape,rmse,rmsle
Chronos-Bolt-Small,S005,P0011,14,1.0175,53.2256,48.8381,1.2349
Chronos-Bolt-Small,S005,P0012,14,0.643,34.3894,25.5574,0.4233
Chronos-Bolt-Small,S005,P0013,14,0.7238,40.0417,44.8771,0.5089
Chronos-Bolt-Small,S005,P0014,14,0.834,41.7522,37.2235,1.1896
Chronos-Bolt-Small,S005,P0015,14,0.4807,25.0714,29.847,0.3013
Chronos-Bolt-Small,S005,P0016,14,1.402,92.3741,68.415,1.0636
Chronos-Bolt-Small,S005,P0017,14,0.5664,26.6976,29.1286,0.353
Chronos-Bolt-Small,S005,P0018,14,0.6487,30.2332,31.007,0.3479
Chronos-Bolt-Small,S005,P0019,14,0.799,38.7547,38.1316,0.5315
Chronos-Bolt-Small,S005,P0020,14,0.8042,38.4868,33.9063,0.4525
Chronos-Bolt-Small,S001,P0001,28,0.8039,32.5707,35.8876,0.4
Chronos-Bolt-Small,S001,P0002,28,0.6139,32.6941,32.4375,0.538
Chronos-Bolt-Small,S001,P0003,28,0.6524,30.2689,45.1004,0.383
Chronos-Bolt-Small,S001,P0004,28,0.7147,29.89,35.587,0.3677
Chronos-Bolt-Small,S001,P0005,28,0.6978,33.2005,43.4092,0.4088
Chronos-Bolt-Small,S001,P0006,28,0.5708,42.0494,34.6906,1.1755
Chronos-Bolt-Small,S001,P0007,28,0.7572,36.303,48.9468,0.4465
Chronos-Bolt-Small,S001,P0008,28,0.7279,32.3758,28.7742,0.4009
Chronos-Bolt-Small,S001,P0009,28,0.8408,35.7588,40.7948,0.4556
Chronos-Bolt-Small,S001,P0010,28,0.7171,30.1651,28.7567,0.3747
Chronos-Bolt-Small,S001,P0011,28,0.5726,29.7557,23.5174,0.3827
Chronos-Bolt-Small,S001,P0012,28,0.651,29.4359,39.5391,0.3486
Chronos-Bolt-Small,S001,P0013,28,0.7756,38.105,34.1738,0.4532
Chronos-Bolt-Small,S001,P0014,28,0.6928,36.6801,45.1779,0.5137
Chronos-Bolt-Small,S001,P0015,28,1.0203,50.9001,46.1074,0.6032
Chronos-Bolt-Small,S001,P0016,28,0.5234,31.3899,35.8687,0.4095
Chronos-Bolt-Small,S001,P0017,28,0.5831,30.902,24.2078,0.3957
Chronos-Bolt-Small,S001,P0018,28,0.6407,29.4491,33.1745,0.4098
Chronos-Bolt-Small,S001,P0019,28,0.8427,39.4806,30.6945,0.5163
Chronos-Bolt-Small,S001,P0020,28,0.5591,33.9285,24.301,0.4627
Chronos-Bolt-Small,S002,P0001,28,0.7985,44.0917,50.4996,0.5932
Chronos-Bolt-Small,S002,P0002,28,0.8071,44.0004,43.1339,0.5274
Chronos-Bolt-Small,S002,P0003,28,0.6342,36.8551,39.4131,0.7101
Chronos-Bolt-Small,S002,P0004,28,0.4924,25.0383,31.1177,0.3052
Chronos-Bolt-Small,S002,P0005,28,0.7544,34.8415,43.2897,0.5206
Chronos-Bolt-Small,S002,P0006,28,0.6007,23.4858,28.6816,0.3192
Chronos-Bolt-Small,S002,P0007,28,1.143,53.4208,59.5842,0.6633
