model,store,product,horizon,mse,rmse,mae,mape,smape,mase,rmsle
Prophet,S002,P0007,14,1833.1591,42.8154,35.1203,102.6216,47.4609,0.8381,0.7225
Prophet,S002,P0008,14,1308.1822,36.1688,28.453,45.3753,32.1162,0.701,0.4498
Prophet,S002,P0009,14,1845.0573,42.9541,35.8642,50.3567,36.7621,0.7445,0.4814
Prophet,S002,P0010,14,1188.9361,34.481,28.2253,31.6612,28.5223,0.7066,0.349
Prophet,S002,P0011,14,2203.9393,46.9461,37.3007,22558878887.4991,42.2736,0.7098,0.8707
Prophet,S002,P0012,14,1341.7921,36.6305,28.097,47.6776,35.2277,0.7171,0.4867
Prophet,S002,P0013,14,2005.8253,44.7864,36.9953,132.7269,41.2329,0.701,0.6912
Prophet,S002,P0014,14,1803.2348,42.4645,33.816,9168381004.434,45.026,0.8584,0.8243
Prophet,S002,P0015,14,1980.8504,44.5067,33.0621,21253552357.7831,36.2901,0.7417,0.8204
Prophet,S002,P0016,14,1970.8743,44.3945,34.2312,10895564042.7216,37.3803,0.8081,0.6603
Prophet,S002,P0017,14,1773.1036,42.1082,33.5655,9104772665.1162,48.8033,0.7797,0.8406
Prophet,S002,P0018,14,907.5264,30.1252,23.6425,38.5229,29.8788,0.7558,0.4113
Prophet,S002,P0019,14,1501.7629,38.7526,30.414,12165273512.881,33.5788,0.6802,0.6664
Prophet,S002,P0020,14,906.8667,30.1142,24.084,48.7506,39.614,0.7629,0.4884
Prophet,S003,P0001,14,1917.5899,43.7903,34.724,18102736028.3609,49.8581,0.8351,0.9368
Prophet,S003,P0002,14,2122.6657,46.0724,36.9268,13418763733.0599,40.3826,0.7168,0.7374
Prophet,S003,P0003,14,1329.3052,36.4596,29.1208,52.5026,34.7288,0.8071,0.512
Prophet,S003,P0004,14,2782.9645,52.7538,40.6545,12966048547.6113,41.1366,0.8194,0.7711
Prophet,S003,P0005,14,1936.1774,44.002,35.4278,10228765011.0964,47.9576,0.8053,0.8487
Prophet,S003,P0006,14,1327.7993,36.439,30.5784,87.1345,42.171,0.8417,0.6482
Prophet,S003,P0007,14,1944.9716,44.1018,32.7555,50.9753,33.0292,0.6426,0.5013
Prophet,S003,P0008,14,1504.9598,38.7938,30.8136,32.1009,30.7735,0.7262,0.3675
Prophet,S003,P0009,14,1559.9113,39.4957,31.2226,44.8357,34.766,0.8239,0.4631
Prophet,S003,P0010,14,1211.3471,34.8044,27.2917,66.5073,30.7308,0.6725,0.5082
Prophet,S003,P0011,14,1814.3335,42.595,35.3862,31933819950.6544,43.9281,0.8153,0.9732
Prophet,S003,P0012,14,1090.4764,33.0224,26.1293,7591078686.7064,41.0413,0.8235,0.6722
Prophet,S003,P0013,14,1929.8826,43.9304,33.8253,25745646982.8336,38.5054,0.6741,0.8973
Prophet,S003,P0014,14,2121.9993,46.0652,38.403,43.6935,35.6756,0.7959,0.4515
Prophet,S003,P0015,14,2090.1023,45.7176,36.3238,13594414562.5861,39.5743,0.667,0.831
Prophet,S003,P0016,14,1902.1387,43.6135,33.6867,48.3001,36.5904,0.7234,0.4971
Prophet,S003,P0017,14,1047.433,32.3641,25.5227,7668685774.475,42.675,0.8292,0.7478
Prophet,S003,P0018,14,973.098,31.1945,25.583,58.3192,40.5391,0.8287,0.5377
Prophet,S003,P0019,14,933.1496,30.5475,24.0945,35.9134,26.4753,0.6189,0.3825
Prophet,S003,P0020,14,2410.8912,49.1008,34.6739,30.3055,32.13,0.7695,0.4103
Prophet,S004,P0001,14,2289.2809,47.8464,36.2816,13681357085.8239,39.2093,0.733,0.8328
Prophet,S004,P0002,14,1964.1472,44.3187,34.8843,11333533635.735,42.1635,0.686,0.7934
Prophet,S004,P0003,14,1695.2323,41.1732,30.8985,74.0238,44.0943,0.8881,0.6258
Prophet,S004,P0004,14,2505.3528,50.0535,40.4516,12971924446.2995,40.0396,0.7566,0.7714
Prophet,S004,P0005,14,1189.8506,34.4942,27.76,37.7819,32.3136,0.7972,0.4105
Prophet,S004,P0006,14,1503.5998,38.7763,31.8403,50.5144,35.2989,0.6368,0.4836
Prophet,S004,P0007,14,2715.5568,52.111,41.6358,67.9577,40.7025,0.7885,0.5881
Prophet,S004,P0008,14,759.8083,27.5646,23.2807,58.5162,39.5381,0.8537,0.5288
Prophet,S004,P0009,14,1701.8518,41.2535,31.3249,20848238723.323,36.1401,0.7155,0.8098
Prophet,S004,P0010,14,2328.9514,48.2592,40.9503,114.3028,41.2162,0.7528,0.629
Prophet,S004,P0011,14,2805.5915,52.9678,37.4493,46.4372,35.7178,0.812,0.5082
